s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.6800110E+002, 1.4978193E+002,-6.6864975E+001,-2.5082061E+001,-3.8518341E+001,-1.0089704E-002, 0.0000000E+000, 0.0000000E+000, 1.9388455E+001, 1.9306459E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.6921451E+002, 1.4999927E+002,-6.6982039E+001,-2.7064500E+001,-3.8222696E+001,-1.0115723E-002, 0.0000000E+000, 0.0000000E+000, 1.7543249E+001, 1.7719919E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7041588E+002, 1.5012058E+002,-6.7066085E+001,-2.6178015E+001,-3.8149021E+001,-1.0091020E-002, 0.0000000E+000, 0.0000000E+000, 1.8775224E+001, 1.8717368E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7160393E+002, 1.4969864E+002,-6.7084042E+001,-2.4652422E+001,-3.8233638E+001,-1.0100959E-002, 0.0000000E+000, 0.0000000E+000, 1.9815453E+001, 1.9718436E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7280298E+002, 1.5019209E+002,-6.7199427E+001,-2.5235040E+001,-3.8350925E+001,-1.0070781E-002, 0.0000000E+000, 0.0000000E+000, 1.9468093E+001, 1.9396627E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7401289E+002, 1.5017805E+002,-6.6837214E+001,-2.5218439E+001,-3.8429701E+001,-1.0083760E-002, 0.0000000E+000, 0.0000000E+000, 1.9694540E+001, 1.9682615E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7520396E+002, 1.4986711E+002,-6.7224416E+001,-2.4182257E+001,-3.8206607E+001,-1.0113324E-002, 0.0000000E+000, 0.0000000E+000, 2.0304196E+001, 2.0243714E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7640244E+002, 1.4977272E+002,-6.7166231E+001,-2.1728550E+001,-3.8653442E+001,-1.0106819E-002, 0.0000000E+000, 0.0000000E+000, 2.2329257E+001, 2.2214389E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7760268E+002, 1.4994687E+002,-6.7597264E+001,-2.3709953E+001,-3.8645698E+001,-1.0087928E-002, 0.0000000E+000, 0.0000000E+000, 1.9953687E+001, 1.9983872E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.7880597E+002, 1.5043350E+002,-6.7562477E+001,-2.6006208E+001,-3.8771805E+001,-1.0083595E-002, 0.0000000E+000, 0.0000000E+000, 1.8169180E+001, 1.8082931E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.8000000E+002, 1.4991904E+002,-6.7726469E+001,-2.5790825E+001,-3.8811468E+001,-1.0082647E-002, 0.0000000E+000, 0.0000000E+000, 1.7624864E+001, 1.7580196E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
